ID,Ilce_Adi,Mahalle_Adi,Bufe_Adi,Enlem,Boylam
281,FATİH,NİŞANCA,Türkeli Büfe,41.0048199978153,28.9597840003577
282,BAHÇELİEVLER,KOCASİNAN MERKEZ,Üçevler Cami Büfe,41.0068669980451,28.8414730005321
283,FATİH,YEDİKULE,Yedikule Yusuf Büfe,40.9940819982675,28.9245410000958
284,GAZİOSMANPAŞA,KARADENİZ,Karadeniz 3 Büfe,41.0809939981203,28.881801000036
285,BAĞCILAR,FEVZİ ÇAKMAK,Dağyolu Büfe,41.0423789980987,28.8593619995585
286,KÜÇÜKÇEKMECE,YEŞİLOVA,Yeşilova Büfe,40.9893299984969,28.7836029998081
287,BAĞCILAR,GÜNEŞLİ,Kurtdereli Okul Büfe,41.0405699984701,28.8279280002913
288,ÜSKÜDAR,ÇENGELKÖY,Çengelköy Büfe,41.0496739977922,29.054339000571
289,SARIYER,FERAHEVLER,Derbent,41.1274252919316,29.0378104732035
290,EYÜPSULTAN,MERKEZ,Piyerloti Büfe,41.0576359979902,28.9330679998376
291,ZEYTİNBURNU,SEYİTNİZAM,Seyitnizam 1 Büfe,41.0090475035202,28.9064517549968
292,PENDİK,KAYNARCA,Alt Kaynarca Büfe,40.8772669986307,29.2623500001375
293,SULTANGAZİ,ZÜBEYDE HANIM,Gazi 1,41.1005666678545,28.9059370003334
294,SARIYER,REŞİTPAŞA,Reşitpaşa,41.1105945752954,29.040145617629
295,SANCAKTEPE,AKPINAR,Akpınar Büfe,40.964428997733,29.2342619999502
296,GAZİOSMANPAŞA,HÜRRİYET,Yeni Hürriyet,41.0690544338929,28.9021635115524
297,KARTAL,YAKACIK YENİ,Yakacık Büfe,40.9191109985524,29.2249969997151
298,BAHÇELİEVLER,ÇOBANÇEŞME,Maslak Çeşme Büfe,41.0067049981994,28.8273109997868
299,GAZİOSMANPAŞA,FEVZİ ÇAKMAK,Validesuyu Büfe,41.0757359979539,28.9075450003833
300,KÜÇÜKÇEKMECE,İSTASYON,Aydın Büfe,41.033351453755,28.7696904706234
301,KÜÇÜKÇEKMECE,TEVFİKBEY,Yel Değirmeni Büfe,41.0103102781285,28.7984091537013
302,ÜMRANİYE,ELMALIKENT,Ümraniye Hastane,41.0342749980162,29.1009150000965
303,ÜSKÜDAR,BAHÇELİEVLER,Bahçelievler Büfe,41.0575112967816,29.0741892738508
304,KARTAL,ATALAR,Atalar Büfe,40.9015619977359,29.1670290005953
305,BEYOĞLU,HALICIOĞLU,Çıksalın Büfe,41.0487239977633,28.9501400001633
306,KADIKÖY,KOZYATAĞI,Kozyatağı Büfe,40.9671628235573,29.0980202304244
307,KÜÇÜKÇEKMECE,ATAKENT,Arena Park Büfe,41.0555119979613,28.7921399997725
308,ATAŞEHİR,YENİŞEHİR,Barajyolu,40.9938709978411,29.141222000065
309,EYÜPSULTAN,NİŞANCI,Nişanca 2 Büfe,41.0401754495715,28.930472397856
310,EYÜPSULTAN,AKŞEMSETTİN,Akşemsettin Durak,41.0869583939199,28.924894204416
311,BAHÇELİEVLER,KOCASİNAN MERKEZ,Bağlar Selgiz Büfe,41.0058149984817,28.8453350004459
312,BAŞAKŞEHİR,KAYABAŞI,Fenertepe 1 Büfe,41.1424609983108,28.7923540000156
313,FATİH,HIRKA-İ ŞERİF,Hırkayı Şerif Büfe,41.0217139984771,28.9420290004638
314,BEYLİKDÜZÜ,BÜYÜKŞEHİR,Beylikdüzü 1,41.0087954529051,28.6433930474232
315,ATAŞEHİR,MUSTAFA KEMAL,Mustafa Kemal,41.0035899977564,29.0933150001714
316,BAHÇELİEVLER,ŞİRİNEVLER,Şirinevler 1 Büfe,41.0010976850728,28.8469990866114
317,SARIYER,CUMHURİYET,Cumhuriyet,41.1470068510282,29.0360331198538
318,AVCILAR,GÜMÜŞPALA,Gümüşpala,40.9784555811273,28.7402790076875
319,TUZLA,AYDINLI,Emlak Konutları Büfe,40.8695049985099,29.3173459998649
320,ESENYURT,OSMANGAZİ,Kıraç 1,41.0425702021505,28.6467453461348
