_id,PARK_NAME,LOCATION_NAME,PARK_TYPE_ID,PARK_TYPE_DESC,CAPACITY_OF_PARK,WORKING_TIME,COUNTY_NAME,LONGITUDE,LATITUDE
469,Avni Akyol Bulvarı 1,Avni Akyol Bulvar,YOL ÜSTÜ,YOL ÜSTÜ,25,09:00-19:00,BAŞAKŞEHİR,28.6895692413112009,41.0722613570856012
470,Avni Akyol Bulvarı 6,Avni Akyol Bulvar,YOL ÜSTÜ,YOL ÜSTÜ,25,09:00-19:00,BAŞAKŞEHİR,28.6866684168192982,41.0701683773031974
471,Bahçeşehir Gölet Açık Otoparkı,Bahçeşehir Gölet Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,110,10:00-22:00,BAŞAKŞEHİR,28.6901833336488004,41.0720313711542033
472,Altunizade Aksoy Sokak 1,Altunizade Aksoy Soka,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-19:00,ÜSKÜDAR,29.0381473302841009,41.0207864653849015
473,Adnan Kahveci Metro Açık Otoparkı,Adnan Kahveci Metro Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,40,09:00-19:00,PENDİK,29.2274093627930007,40.8949918336493994
474,Pendik Tavşantepe Metro Taksi Durağı,Pendik Tavşantepe Metro Taksi Durağ,TAKSİ PARK,TAKSİ PARK,4,07:00-23:00,PENDİK,29.2463586947418008,40.8824787217601013
475,Esenler Adem Baştürk Kültür Merkezi Katlı,Esenler Adem Baştürk Kültür Merkezi Katl,KAPALI OTOPARK,KAPALI OTOPARK,1000,24 Saat,ESENLER,28.8850841259699997,41.0386915858544015
476,Bostancı İdo Karşısı Açık Otopark 2,Bostancı İdo Karşısı Açık Otopar,AÇIK OTOPARK,AÇIK OTOPARK,84,24 Saat,KADIKÖY,29.0956429728045016,40.9527243666533991
477,Süleymaniye Cami Altı Açık Otoparkı,Süleymaniye Cami Altı Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,250,06:30-19:00,FATİH,28.9610775272874008,41.0158234443331011
478,Harbiye Cumhuriyet Caddesi Yol Üstü Otoparkı 6,Harbiye Cumhuriyet Caddesi Yol Üstü Otopark,YOL ÜSTÜ,YOL ÜSTÜ,25,08:00-18:00,ŞİŞLİ,28.9864147002029,41.0422046978908028
479,Pendik Tavşantepe P+R Açık Otoparkı,Pendik Tavşantepe P+R Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,430,06:00-17:00,PENDİK,29.248609542846701,40.8829229906037028
480,Uzunçayır P+R,Uzunçayır P+,AÇIK OTOPARK,AÇIK OTOPARK,150,06:00-20:00,KADIKÖY,29.0581760322200005,40.9987457065130982
481,Beylikdüzü Atatürk Bulvarı Açık Otoparkı,Beylikdüzü Atatürk Bulvarı Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,70,08:00-22:00,BEYLİKDÜZÜ,28.6452767927199012,41.0136924097990985
482,Dr.Fahri Atabey Caddesi 6,Üsküdar Dr.Fahri Atabey Caddes,YOL ÜSTÜ,YOL ÜSTÜ,32,08:00-18:00,ÜSKÜDAR,29.0192251680891999,41.019224266852703
483,Pendik Yenimahalle Yolüstü Otoparkı 1,Pendik Yenimahalle Yolüstü Otopark,YOL ÜSTÜ,YOL ÜSTÜ,50,07:00-17:00,PENDİK,29.2725482583045995,40.8635599856539997
484,İcadiye Açık Otoparkı,İcadiye Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,135,07:00-18:00,ÜSKÜDAR,29.0419989824295008,41.0256774465564007
485,Kadıköy Söğütlüçeşme Açık Otoparkı,Kadıköy Söğütlüçeşme Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,230,24 Saat,KADIKÖY,29.0388810520837986,40.9920378972667976
486,Muallim Naci Açık Otoparkı,Muallim Naci Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,35,24 Saat,BEŞİKTAŞ,29.0342713198596982,41.0561629020505023
487,Alibeyköy Yeşiltepe Zemin Altı Otoparkı,Alibeyköy Yeşiltepe Zemin Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,159,24 Saat,EYÜP,28.9384609099211012,41.0793200794338986
488,Bağcılar Demirkapı Zemin Altı Otoparkı,Bağcılar Demirkapı Zemin Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,343,24 Saat,BAĞCILAR,28.8327430659808996,41.0500841320560994
489,Metrocity Önü 2,Metro City Ön,YOL ÜSTÜ,YOL ÜSTÜ,15,08:00-19:00,ŞİŞLİ,29.0140462905126988,41.0765585312392005
490,Haseki Caddesi 2,Haseki Caddes,YOL ÜSTÜ,YOL ÜSTÜ,15,07:30-18:00,FATİH,28.9448494359921007,41.0092644388704031
491,Avcılar İdo,Avcılar İd,AÇIK OTOPARK,AÇIK OTOPARK,400,24 Saat,AVCILAR,28.7185068976158,40.9711954866656995
492,Öğretmen Evi,Öğretmen Ev,AÇIK OTOPARK,AÇIK OTOPARK,80,14:00-23:00,AVCILAR,28.7141136765324987,40.9722402335860991
