BUSINESS_TYPE_ID,BUSINESS_TYPE_DESC,FUEL_DISTRIBUTION_COMPANY_ID,FUEL_DISTRIBUTION_COMPANY_DESC,LPG_DISTRIBUTION_COMPANY_ID,LPG_DISTRIBUTION_COMPANY_DESC,FACILITY_TYPE_ID,FACILITY_TYPE_DESC,COUNTY_UAVT_CODE,COUNTY_NAME,NEIGHBORHOOD_UAVT_CODE,NEIGHBORHOOD_NAME,LATITUDE,LONGTITUDE
1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,1810,KAĞITHANE,40536,ÇELİKTEPE,41.08336653,28.99973039
1,Akaryakıt,13,Shell-Turcas Petrol,-99,Bilinmiyor,1,Aktif,2005,BAHÇELİEVLER,40183,YENİBOSNA MERKEZ,41.01390184,28.82591129
1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,1823,KÜÇÜKÇEKMECE,40592,İNÖNÜ,41.01578731,28.80376468
1,Akaryakıt,-99,Bilinmiyor,-99,Bilinmiyor,1,Aktif,1835,PENDİK,,,40.90179529,29.2470672
2,Akaryakıt Lpg,13,Shell-Turcas Petrol,-99,Bilinmiyor,1,Aktif,1185,BEYKOZ,,,41.06738261,29.27611352
2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1810,KAĞITHANE,40535,ÇAĞLAYAN,41.08103855,28.98676537
1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,1327,FATİH,99142,ZEYREK,41.01876263,28.95443025
2,Akaryakıt Lpg,10,Opet,33,Opet,1,Aktif,1663,ŞİŞLİ,40706,MERKEZ,41.06569501,28.98749277
1,Akaryakıt,10,Opet,-99,Bilinmiyor,1,Aktif,1327,FATİH,40422,DERVİŞ ALİ,41.02980115,28.93902429
2,Akaryakıt Lpg,2,Alpet,48,Exen Gaz,1,Aktif,2051,BEYLİKDÜZÜ,40869,ADNAN KAHVECİ,40.99610084,28.6252887
1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,1622,SİLİVRİ,40941,BÜYÜK ÇAVUŞLU,41.22622091,28.06378658
2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,1336,GAZİOSMANPAŞA,40460,YENİ MAHALLE,41.08161319,28.8962495
2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,1708,ÜSKÜDAR,40820,SELİMİYE,41.00831569,29.02304984
1,Akaryakıt,13,Shell-Turcas Petrol,-99,Bilinmiyor,1,Aktif,1604,SARIYER,40704,MASLAK,41.11754302,29.02355514
1,Akaryakıt,15,Total,-99,Bilinmiyor,1,Aktif,1622,SİLİVRİ,40921,YENİ,41.07458129,28.2617832
2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,2004,BAĞCILAR,40173,FEVZİ ÇAKMAK,41.04773828,28.85967769
2,Akaryakıt Lpg,10,Opet,29,Mogaz,1,Aktif,2015,TUZLA,40732,MESCİT,40.88408316,29.34923857
1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,2051,BEYLİKDÜZÜ,40894,YAKUPLU,40.98881815,28.66760101
2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,2053,ESENYURT,40861,ARDIÇLI,41.04239594,28.6764123
1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,2004,BAĞCILAR,40165,YAVUZ SELİM,41.03679069,28.8528852
1,Akaryakıt,15,Total,-99,Bilinmiyor,1,Aktif,1823,KÜÇÜKÇEKMECE,40590,HALKALI MERKEZ,41.03209046,28.80008994
2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,2050,BAŞAKŞEHİR,40872,BAHÇEŞEHİR 2. KISIM,41.06005547,28.68809499
1,Akaryakıt,13,Shell-Turcas Petrol,-99,Bilinmiyor,1,Aktif,2055,SULTANGAZİ,40471,50. YIL,41.09173674,28.86447997
1,Akaryakıt,5,BP,-99,Bilinmiyor,1,Aktif,1185,BEYKOZ,40248,RÜZGARLIBAHÇE,41.09474789,29.09756142
2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,2005,BAHÇELİEVLER,40184,ÇOBANÇEŞME,40.99309489,28.82714527
2,Akaryakıt Lpg,2,Alpet,48,Exen Gaz,1,Aktif,1237,ÇATALCA,191791,GÖKÇEALİ,41.19727482,28.44551218
2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,1185,BEYKOZ,40237,GÜMÜŞSUYU,41.1278814,29.09614625
1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,2048,ARNAVUTKÖY,99358,MUSTAFA KEMAL PAŞA,41.19165865,28.73369324
2,Akaryakıt Lpg,12,Petrol Ofisi,37,Petrol Ofisi,1,Aktif,2053,ESENYURT,181488,BARBAROS HAYRETTİN PAŞA,41.0168531,28.63926464
2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1449,KARTAL,40572,YUKARI,40.88918493,29.1811804
2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,2005,BAHÇELİEVLER,40182,KOCASİNAN MERKEZ,41.02069618,28.84041721
1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,1336,GAZİOSMANPAŞA,40458,HÜRRİYET,41.06180709,28.90231997
1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,2053,ESENYURT,181492,MEVLANA,41.00649879,28.66754133
2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,2053,ESENYURT,181522,KOZA,41.08044666,28.6524485
1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,2054,SANCAKTEPE,40759,EMEK,41.00697284,29.18824372
1,Akaryakıt,5,BP,14,Bp Gaz,1,Aktif,2053,ESENYURT,40880,AKÇABURGAZ,41.06737905,28.64951142
2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1186,BEYOĞLU,40265,YENİŞEHİR,41.04156691,28.97933781
2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2010,GÜNGÖREN,40504,ABDURRAHMAN NAFİZ GÜRMAN,41.00805522,28.89697717
1,Akaryakıt,15,Total,-99,Bilinmiyor,1,Aktif,2049,ATAŞEHİR,40530,İÇERENKÖY,40.96618877,29.10487218
